JD,Magnitude,Magnitude_err,Flux,Flux_err
2456874.9005,12.734,0.02,30.917,0.569
2456876.89162,12.758,0.02,30.251,0.557
2456877.88886,12.772,0.02,29.867,0.55
2456883.87454,12.886,0.02,26.897,0.495
2456887.86358,12.934,0.02,25.724,0.473
2456888.86009,12.979,0.02,24.67,0.454
2456889.86197,13.006,0.02356,24.075,0.522
2456895.84203,13.122,0.02277,21.637,0.453
2456898.83411,13.22,0.0223,19.761,0.405
2456909.87712,13.299,0.02205,18.372,0.373
2456918.71882,13.412,0.02187,16.566,0.333
2456929.70354,13.731,0.02237,12.346,0.254
2456936.8808,13.81,0.02271,11.475,0.24
2456952.7305,14.056,0.02436,9.156,0.205
2456966.70214,14.273,0.02656,7.496,0.183
2456971.69193,14.46,0.02908,6.308,0.169
2456974.67313,14.447,0.02888,6.382,0.17
2456976.63161,14.523,0.03007,5.955,0.165
2456980.67531,14.556,0.03062,5.773,0.163
2456984.73158,14.571,0.03087,5.696,0.162
2456993.7477,14.646,0.03222,5.317,0.158
2457005.59301,14.778,0.03489,4.707,0.151
2457008.65077,14.788,0.0351,4.663,0.151
2457015.64575,14.691,0.03309,5.1,0.155
2457019.5633,14.399,0.02819,6.671,0.173
2457031.55908,14.819,0.03579,4.531,0.149
2457033.6094,14.697,0.03321,5.073,0.155
2457036.6132,14.454,0.02899,6.343,0.169
2457039.60062,14.528,0.03015,5.928,0.164
2457043.6029,14.581,0.03105,5.643,0.161
2457049.58701,14.377,0.02788,6.807,0.175
2457052.58508,14.362,0.02768,6.904,0.176
2457064.62219,14.238,0.02615,7.741,0.186
2457069.55237,14.212,0.02587,7.928,0.189
2457076.54231,14.02,0.02406,9.462,0.209
2457089.60329,13.932,0.02342,10.261,0.221
2457096.51499,13.853,0.02294,11.035,0.233
2457210.92534,10.518,0.02,238.007,4.379
2457219.93086,10.453,0.02,252.857,4.653
2457220.92833,10.522,0.02,237.114,4.363
2457221.92583,10.45,0.02,253.385,4.662
2457224.88512,10.448,0.02,253.966,4.673
2457226.87431,10.501,0.02,241.859,4.45
2457227.87195,10.562,0.02,228.63,4.207
2457234.85421,10.592,0.02,222.491,4.094
2457247.82479,10.704,0.02,200.512,3.689
2457248.81735,10.738,0.02,194.324,3.576
2457249.80704,10.737,0.02,194.588,3.58
2457249.9201,11.831,0.02,196.483,3.615
2457251.80575,10.746,0.02,193.061,3.552
2457251.91857,11.862,0.02,191.035,3.515
2457252.79919,10.803,0.02,183.048,3.368
2457252.91404,11.91,0.02,182.852,3.364
2457258.78936,10.865,0.02,172.962,3.182
