JD,Magnitude,Magnitude_err,Flux,Flux_err
2456597.98435,10.04,0.02,431.904,7.947
2456597.98456,10.1,0.02,384.5,7.075
2456600.97334,10.066,0.02,396.632,7.298
2456618.84321,9.799,0.02,507.276,9.334
2456621.83521,9.978,0.02,457.588,8.42
2456625.84028,9.727,0.02,541.738,9.968
2456629.82973,10.065,0.02,422.033,7.765
2456629.82976,9.902,0.02,461.3,8.488
2456638.8536,9.553,0.02,635.812,11.699
2456638.85363,9.723,0.02,578.469,10.644
2456648.89219,9.242,0.02,847.321,15.591
2456656.77476,8.891,0.02,1170.849,21.544
2456676.842,8.454,0.02,1862.467,34.269
2456848.92811,11.33,0.02,112.672,2.073
2456848.92828,11.586,0.02,78.483,1.444
2456849.93464,11.518,0.02,94.781,1.744
2456849.93483,11.762,0.02,66.699,1.227
2456851.9233,11.564,0.02,90.84,1.671
2456851.92349,11.574,0.02,79.423,1.461
2456862.90288,11.255,0.02,120.765,2.222
2456862.90313,11.434,0.02,90.298,1.661
2456864.90645,11.308,0.02,114.978,2.116
2456864.9067,11.456,0.02,88.512,1.629
2456876.87608,11.32,0.02,113.775,2.093
2456876.87637,11.644,0.02,74.448,1.37
2456881.87459,11.22,0.02,124.666,2.294
2456881.87489,11.192,0.02,112.753,2.075
2456885.12415,12.258,0.02,56.029,1.031
2456885.12446,12.225,0.02,54.301,0.999
2456889.83015,11.286,0.02,117.323,2.159
2456889.83048,11.776,0.02,65.913,1.213
2456892.13271,12.206,0.02,58.766,1.081
2456896.12708,12.132,0.02,62.896,1.157
2456896.12742,12.004,0.02,66.525,1.224
2456907.7967,11.169,0.02,130.764,2.406
2456914.09167,11.823,0.02,83.635,1.539
2456919.05951,11.232,0.02,144.056,2.651
2456919.05985,11.628,0.02,94.054,1.731
2456920.80726,10.958,0.02,158.761,2.921
2456920.80761,11.068,0.02,126.55,2.329
2456925.90805,10.823,0.02,179.688,3.306
2456925.90838,10.848,0.02,154.98,2.852
2456930.78959,10.863,0.02,173.331,3.189
2456930.78991,10.88,0.02,150.34,2.766
2456931.88638,10.928,0.02,143.927,2.648
2456932.78743,10.857,0.02,174.194,3.205
2456932.78775,11.046,0.02,129.164,2.377
2456936.05256,11.267,0.02,139.534,2.567
2456936.05287,11.172,0.02,143.246,2.636
2456943.06469,11.199,0.02,148.557,2.733
2456943.06498,11.094,0.02,153.829,2.83
2456948.83314,10.537,0.02,234.019,4.306
2456948.83341,10.502,0.02,213.143,3.922
2456959.66848,10.458,0.02,251.486,4.627
2456959.66871,10.392,0.02,235.931,4.341
2456964.74574,10.395,0.02,266.688,4.907
2456964.74595,10.368,0.02,241.058,4.435
2456970.96119,10.695,0.02,236.434,4.35
2456973.96098,10.692,0.02,237.061,4.362
2456973.96113,10.616,0.02,239.008,4.398
2456976.75893,10.378,0.02,270.865,4.984
2456976.75908,10.294,0.02,258.19,4.751
2456981.94516,10.644,0.02,247.703,4.558
2456981.94528,10.569,0.02,249.436,4.59
2456982.94184,10.636,0.02,249.441,4.59
2456982.94195,10.579,0.02,247.191,4.548
2456984.93355,10.605,0.02,256.824,4.726
2456984.93364,10.538,0.02,256.645,4.722
2456990.93978,10.52,0.02,277.736,5.11
2456990.93985,10.432,0.02,283.084,5.209
2456992.91899,10.49,0.02,285.444,5.252
2456992.91904,10.418,0.02,286.74,5.276
2456998.90843,10.361,0.02,321.302,5.912
2457000.9152,10.318,0.02,334.558,6.156
2457002.92038,10.26,0.02,352.784,6.491
2457004.91845,10.174,0.02,381.779,7.025
2457005.81677,9.786,0.02,411.727,7.576
2457005.8168,9.897,0.02,421.835,7.762
2457006.81869,9.736,0.02,431.378,7.937
2457006.81872,9.868,0.02,433.32,7.973
2457009.66178,9.6,0.02,488.595,8.99
2457009.66183,9.741,0.02,487.098,8.963
2457012.9073,9.91,0.02,487.1,8.963
2457013.88918,9.777,0.02,517.473,9.522
2457013.88925,9.892,0.02,495.12,9.11
2457015.89741,9.797,0.02,540.621,9.947
2457018.88472,9.645,0.02,621.595,11.437
2457026.61001,9.05,0.02,811.351,14.929
2457026.61016,9.134,0.02,851.441,15.667
2457030.72897,9.0,0.02,963.924,17.736
2457032.83594,8.958,0.02,1100.741,20.254
2457032.83612,9.074,0.02,1051.568,19.349
2457034.6316,8.574,0.02,1258.913,23.164
2457034.63178,8.814,0.02,1143.964,21.049
2457035.82957,8.94,0.02,1189.435,21.886
2457038.62878,8.5,0.02,1346.649,24.778
2457038.62899,8.699,0.02,1271.715,23.4
2457041.62823,8.444,0.02,1417.145,26.075
2457041.62845,8.654,0.02,1324.742,24.375
2457044.62012,8.394,0.02,1483.994,27.305
2457044.62036,8.63,0.02,1355.25,24.937
2457047.60446,8.39,0.02,1489.432,27.406
2457047.60471,8.6,0.02,1393.427,25.639
2457053.60261,8.61,0.02,1379.829,25.389
2457062.61251,8.472,0.02,1382.72,25.442
2457062.61281,8.708,0.02,1261.204,23.206
2457066.57332,8.582,0.02,1248.654,22.975
2457066.57363,8.787,0.02,1172.811,21.58
2457070.57997,8.64,0.02,1183.642,21.779
2457070.58029,8.833,0.02,1123.48,20.672
2457074.56621,8.699,0.02,1121.6,20.637
2457074.56653,8.897,0.02,1059.346,19.492
2457080.54971,9.036,0.02,932.106,17.151
2457085.53756,9.116,0.02,865.662,15.928
