JD,Magnitude,Magnitude_err,Flux,Flux_err
2457420.65689,8.137,0.02,1979.289,36.419
2457423.70473,9.443,0.02,640.592,11.787
2457423.70494,8.575,0.02,1321.739,24.32
2457424.64696,8.07,0.02,2269.116,41.752
2457424.64716,8.145,0.02,1963.428,36.127
2457427.6207,8.043,0.02,2326.076,42.8
2457427.62089,8.094,0.02,2057.624,37.86
2457436.76623,8.091,0.02,2226.039,40.959
2457436.76637,8.144,0.02,1964.908,36.154
2457438.72246,7.98,0.02,2466.002,45.374
2457438.72259,8.138,0.02,1976.153,36.361
2457442.71189,8.045,0.02,2321.903,42.723
2457442.71198,8.146,0.02,1961.881,36.099
2457444.58298,7.919,0.02,2608.951,48.005
2457444.58306,8.068,0.02,2108.824,38.802
2457447.73378,8.01,0.02,2399.167,44.145
2457447.73385,8.1,0.02,2047.833,37.68
2457448.69913,7.996,0.02,2430.486,44.721
2457448.69919,8.134,0.02,1983.695,36.5
2457451.61698,7.987,0.02,2449.016,45.062
2457451.61702,8.01,0.02,2222.994,40.903
2457457.55378,8.078,0.02,2087.953,38.418
2457457.55378,7.876,0.02,2712.616,49.912
2457460.69233,8.148,0.02,1958.794,36.042
2457460.69235,7.971,0.02,2485.294,45.729
2457465.69208,8.154,0.02,1948.533,35.853
2457465.69213,8.09,0.02,2227.999,40.995
2457466.6802,8.55,0.02,1351.864,24.874
2457466.68026,12.565,nan,-44.173,7.229
2457471.50974,8.092,0.02,2061.664,37.935
2457471.50983,8.048,0.02,2315.123,42.598
2457477.64216,8.132,0.02,1987.716,36.574
2457477.64228,8.138,0.02,2131.159,39.213
2457478.59677,8.009,0.02,2226.163,40.961
2457478.5969,8.044,0.02,2323.681,42.756
2457485.59574,8.154,0.02,1948.244,35.848
2457485.59592,8.119,0.02,2168.659,39.903
2457523.51644,8.24,0.02,1799.054,33.103
2457523.51678,8.008,0.02,2401.859,44.194
2457530.46643,8.049,0.02,2146.192,39.49
2457530.46679,7.946,0.02,2544.829,46.825
2457607.93616,8.083,0.02,2079.332,38.26
2457607.93639,7.966,0.02,2497.841,45.96
2457608.93251,8.075,0.02,2094.919,38.547
2457608.93272,7.927,0.02,2587.932,47.618
2457618.93104,8.057,0.02,2129.656,39.186
2457618.9312,7.937,0.02,2565.176,47.199
2457625.89941,8.03,0.02,2184.078,40.187
2457626.89591,7.969,0.02,2308.455,42.476
2457634.87709,8.044,0.02,2156.256,39.675
2457634.87715,7.809,0.02,2885.664,53.096
2457637.88632,8.02,0.02,2203.094,40.537
2457640.85975,8.024,0.02,2195.701,40.401
2457648.84092,8.089,0.02,2068.652,38.063
2457650.84984,8.048,0.02,2147.039,39.506
2457653.85541,8.078,0.02,2088.317,38.425
2457655.86618,8.075,0.02,2095.417,38.556
2457658.81175,7.875,0.02,2715.093,49.958
2457658.81184,8.059,0.02,2126.557,39.129
2457660.83463,7.843,0.02,2796.954,51.464
2457660.83474,8.075,0.02,2094.406,38.537
2457663.81419,7.885,0.02,2690.526,49.506
2457663.81432,8.075,0.02,2094.606,38.541
2457667.79645,7.904,0.02,2644.741,48.663
2457667.7966,8.095,0.02,2056.385,37.837
2457674.82777,7.805,0.02,2896.043,53.287
2457674.82796,8.046,0.02,2150.747,39.574
2457683.85149,7.796,0.02,2921.053,53.747
2457683.85173,8.037,0.02,2169.917,39.926
2457687.7365,7.864,0.02,2742.654,50.465
2457687.73676,8.041,0.02,2161.146,39.765
2457690.73468,7.93,0.02,2581.966,47.508
2457690.73495,8.066,0.02,2112.761,38.875
2457693.75075,7.797,0.02,2917.52,53.682
2457693.75103,8.036,0.02,2170.743,39.942
2457696.80395,7.704,0.02,3180.135,58.514
2457696.80425,8.017,0.02,2210.426,40.672
2457698.72446,7.729,0.02,3108.045,57.188
2457698.72476,8.067,0.02,2109.303,38.811
2457701.73877,7.712,0.02,3155.471,58.061
2457701.73908,8.031,0.02,2180.446,40.12
2457704.73671,7.645,0.02,3356.585,61.761
2457704.73703,8.025,0.02,2194.253,40.374
2457709.74026,7.596,0.02,3510.337,64.59
2457709.7406,7.985,0.02,2276.289,41.884
2457712.73862,7.58,0.02,3563.393,65.566
2457712.73896,7.922,0.02,2411.292,44.368
2457714.72212,7.587,0.02,3540.601,65.147
2457714.72247,7.964,0.02,2320.254,42.693
2457718.70915,7.52,0.02,3765.974,69.294
2457718.70951,7.885,0.02,2494.949,45.907
2457721.70338,7.52,0.02,3765.95,69.293
2457721.70375,7.947,0.02,2355.687,43.345
2457725.69966,7.517,0.02,3775.634,69.472
2457725.70003,7.966,0.02,2314.872,42.594
2457726.74438,7.536,0.02,3710.116,68.266
2457728.80299,7.544,0.02,3684.42,67.793
2457728.80336,7.964,0.02,2319.893,42.686
2457732.78742,7.522,0.02,3760.222,69.188
2457732.78779,7.946,0.02,2358.433,43.395
2457737.76279,7.647,0.02,3350.724,61.653
2457740.82927,7.594,0.02,3516.73,64.708
2457742.72686,7.634,0.02,3391.211,62.398
2457747.65854,7.618,0.02,3440.753,63.31
2457747.65891,8.031,0.02,2181.013,40.131
2457751.61261,7.632,0.02,3397.772,62.519
2457751.61297,8.013,0.02,2217.425,40.801
2457754.67281,7.594,0.02,3516.671,64.707
2457754.67316,7.971,0.02,2305.61,42.423
2457757.80212,7.67,0.02,3281.48,60.379
2457757.80245,7.964,0.02,2319.976,42.688
2457760.76043,7.671,0.02,3276.215,60.282
2457760.76076,7.998,0.02,2249.515,41.391
2457761.62514,7.72,0.02,3132.042,57.63
2457761.62547,8.012,0.02,2219.347,40.836
2457763.65246,7.68,0.02,3248.751,59.777
2457763.6528,8.034,0.02,2174.78,40.016
2457765.79575,7.726,0.02,3116.214,57.338
2457765.79607,8.038,0.02,2167.145,39.875
2457766.73802,7.695,0.02,3207.075,59.01
2457766.73833,8.071,0.02,2103.211,38.699
2457768.76364,7.675,0.02,3266.032,60.095
2457768.76394,8.005,0.02,2234.343,41.112
2457770.69539,7.646,0.02,3354.663,61.726
2457770.69568,8.031,0.02,2181.861,40.146
2457772.76271,7.693,0.02,3211.107,59.084
2457772.763,8.006,0.02,2232.345,41.075
2457773.69078,7.76,0.02,3020.403,55.575
2457773.69107,8.058,0.02,2127.887,39.153
2457778.64849,7.713,0.02,3152.168,58.0
2457778.64876,8.036,0.02,2172.036,39.965
2457780.70869,7.686,0.02,3232.891,59.485
2457780.70895,8.092,0.02,2062.911,37.958
2457781.59351,7.724,0.02,3122.508,57.454
2457781.59376,7.996,0.02,2251.915,41.435
2457785.811,7.724,0.02,3120.041,57.409
2457785.81123,8.039,0.02,2164.358,39.824
2457787.74253,7.69,0.02,3220.565,59.258
2457787.74274,8.089,0.02,2068.234,38.056
2457791.64756,7.593,0.02,3522.389,64.812
2457791.64775,7.977,0.02,2292.533,42.183
2457795.60462,7.656,0.02,3324.144,61.164
2457797.59566,7.61,0.02,3467.687,63.805
2457799.66909,7.626,0.02,3414.913,62.834
2457799.66928,8.019,0.02,2206.006,40.591
2457800.53742,7.684,0.02,3239.611,59.609
2457800.53756,7.939,0.02,2374.044,43.682
2457802.75824,7.69,0.02,3220.736,59.262
2457802.75837,8.069,0.02,2105.56,38.742
2457803.76145,7.724,0.02,3121.939,57.444
2457803.76158,8.017,0.02,2210.138,40.667
2457804.75668,7.697,0.02,3199.362,58.868
2457804.7568,8.06,0.02,2123.942,39.081
2457805.74779,7.643,0.02,3363.792,61.894
2457805.74791,8.054,0.02,2135.973,39.302
2457807.55776,7.6,0.02,3497.517,64.354
2457807.55787,7.91,0.02,2438.337,44.865
2457812.60303,7.969,0.02,2310.329,42.51
2457817.71119,7.462,0.02,3974.671,73.134
2457817.71123,8.015,0.02,2213.09,40.721
2457821.70849,7.514,0.02,3787.821,69.696
2457824.69398,7.451,0.02,4011.754,73.816
2457825.52825,7.325,0.02,4507.644,82.941
2457828.69006,7.456,0.02,3995.077,73.509
2457829.64756,7.383,0.02,3963.678,72.932
2457829.6476,7.438,0.02,4063.119,74.761
2457830.61934,7.422,0.02,3822.934,70.342
2457830.61939,7.38,0.02,4284.471,78.834
2457831.61434,7.357,0.02,4377.552,80.547
2457832.58937,7.363,0.02,4353.793,80.11
2457833.61812,7.387,0.02,3946.991,72.625
2457833.61819,7.38,0.02,4285.453,78.852
2457834.63494,7.289,0.02,4318.906,79.468
2457834.63501,7.38,0.02,4284.791,78.84
2457835.6678,7.342,0.02,4115.167,75.719
2457835.66788,7.407,0.02,4177.93,76.874
2457837.6244,7.315,0.02,4547.233,83.669
2457840.56181,7.286,0.02,4333.074,79.729
2457840.56194,7.336,0.02,4460.661,82.076
2457844.64601,7.368,0.02,4016.023,73.895
2457844.64615,7.401,0.02,4203.443,77.343
2457847.63543,7.389,0.02,3941.578,72.525
2457847.63558,7.472,0.02,3937.181,72.444
2457851.6276,7.425,0.02,3813.367,70.166
2457851.62778,7.548,0.02,3668.925,67.508
2457853.54452,7.406,0.02,3879.406,71.381
2457853.54471,7.498,0.02,3843.58,70.722
2457856.61675,7.508,0.02,3529.84,64.949
2457856.61696,7.603,0.02,3490.327,64.222
2457858.60635,7.499,0.02,3559.338,65.492
2457858.60656,7.599,0.02,3502.768,64.451
2457864.58652,7.53,0.02,3460.47,63.673
2457864.58677,7.678,0.02,3255.307,59.898
2457867.58112,7.552,0.02,3389.925,62.375
2457867.58138,7.661,0.02,3307.826,60.864
2457870.53954,7.624,0.02,3172.781,58.379
2457870.53982,7.731,0.02,3100.365,57.047
2457873.51078,7.652,0.02,3093.382,56.918
2457873.51107,7.661,0.02,3308.949,60.885
2457877.52,7.709,0.02,2935.487,54.013
2457877.5203,7.792,0.02,2932.955,53.966
2457880.54629,7.707,0.02,2939.45,54.086
2457883.52851,7.709,0.02,2933.92,53.984
2457883.52884,7.82,0.02,2857.997,52.587
2457887.51564,7.714,0.02,2920.244,53.732
2457887.51598,7.789,0.02,2939.79,54.092
2457901.48275,7.617,0.02,3192.709,58.746
2457901.48312,7.745,0.02,3060.892,56.32
2457903.46392,7.567,0.02,3345.427,61.556
2457903.46429,7.702,0.02,3186.422,58.63
2457910.44368,7.623,0.02,3177.177,58.46
2457972.9357,7.831,0.02,2623.46,48.272
2457972.93592,8.027,0.02,2360.536,43.434
2457973.93231,7.831,0.02,2621.429,48.234
2457973.93253,8.052,0.02,2307.618,42.46
2457999.89863,7.973,0.02,2300.173,42.323
2457999.89869,8.233,0.02,1952.513,35.926
2458007.85745,7.908,0.02,2443.431,44.959
2458007.85747,8.224,0.02,1970.182,36.251
2458009.88923,7.896,0.02,2469.2,45.433
2458009.88923,8.33,0.02,1785.977,32.862
2458012.84955,8.189,0.02,2033.091,37.409
2458012.84957,8.108,0.02,2031.492,37.379
2458014.84228,8.297,0.02,1841.143,33.877
2458014.84232,8.043,0.02,2157.648,39.701
2458017.82711,8.323,0.02,1798.377,33.09
2458017.82717,7.93,0.02,2394.191,44.053
2458019.86013,8.26,0.02,1905.821,35.067
2458019.8602,7.933,0.02,2387.396,43.928
2458023.81586,8.217,0.02,1982.581,36.479
2458023.81595,8.001,0.02,2243.021,41.272
2458029.80318,8.352,0.02,1750.697,32.213
2458029.80331,8.032,0.02,2179.312,40.099
2458032.84177,8.182,0.02,2047.499,37.674
2458032.84192,7.909,0.02,2440.01,44.896
2458035.82878,8.138,0.02,2132.281,39.234
2458035.82899,7.842,0.02,2597.03,47.785
2458039.84539,8.149,0.02,2109.795,38.82
2458039.84557,7.828,0.02,2628.878,48.371
2458043.76837,8.069,0.02,2270.756,41.782
2458043.76857,7.885,0.02,2494.469,45.898
2458052.80392,8.014,0.02,2388.991,43.957
2458052.80417,7.791,0.02,2721.289,50.072
2458053.80076,8.001,0.02,2417.714,44.486
2458053.80102,7.86,0.02,2553.831,46.99
2458056.80654,8.089,0.02,2230.998,41.05
