JD,Magnitude,Magnitude_err,Flux,Flux_err
2457631.75989,13.153,0.0226,21.019,0.437
2457635.70422,13.282,0.02209,18.667,0.379
2457637.86385,13.32,0.022,18.033,0.365
2457640.68389,13.394,0.02188,16.842,0.339
2457641.7642,13.411,0.02187,16.576,0.333
2457645.69454,13.517,0.02187,15.038,0.303
2457649.71392,13.588,0.02196,14.079,0.284
2457651.73056,13.656,0.02212,13.223,0.269
2457653.8145,13.709,0.02229,12.599,0.258
2457655.63722,13.798,0.02266,11.604,0.242
2457657.66791,13.871,0.02304,10.851,0.23
2457659.72627,13.861,0.02298,10.955,0.232
2457664.65701,14.054,0.02434,9.167,0.205
2457668.5982,14.149,0.02521,8.4,0.195
2457669.70114,14.266,0.02648,7.543,0.184
2457675.6626,14.312,0.02703,7.226,0.18
2457681.61223,14.279,0.02663,7.454,0.183
2457684.73526,14.449,0.02891,6.371,0.169
2457687.83193,14.638,0.03207,5.353,0.158
2457690.6181,14.793,0.03521,4.643,0.15
2457694.58078,14.878,0.03716,4.291,0.147
2457696.69692,14.831,0.03607,4.482,0.149
2457699.51629,14.839,0.03625,4.449,0.148
2457701.67396,14.913,0.03802,4.155,0.145
2457703.59673,15.047,0.04157,3.675,0.141
2457706.81475,15.393,0.05303,2.672,0.13
2457710.72196,15.129,0.04398,3.407,0.138
2457712.60217,15.32,0.05032,2.857,0.132
2457715.67835,15.405,0.0535,2.643,0.13
2457720.57231,15.985,nan,0.547,0.31
2457721.66379,15.949,0.07937,1.601,0.117
2457725.67346,15.974,0.08079,1.564,0.116
2457729.6315,15.702,0.06641,2.01,0.123
2457738.67569,15.609,0.06205,2.189,0.125
2457740.68599,15.742,0.06837,1.936,0.122
2457741.60485,15.348,0.05134,2.785,0.132
2457745.70181,15.629,0.06297,2.15,0.125
2457749.56341,15.72,0.06728,1.976,0.122
2457752.54814,15.143,0.04441,3.363,0.137
2457757.67146,15.543,0.05914,2.327,0.127
2457762.62274,15.418,0.054,2.611,0.13
2457764.61496,15.678,0.06526,2.055,0.123
2457767.62555,15.548,0.05935,2.317,0.127
2457768.60941,15.542,0.05909,2.328,0.127
2457770.56192,15.666,0.06469,2.076,0.124
2457773.59992,15.356,0.05164,2.764,0.131
2457775.61856,15.545,0.05922,2.322,0.127
2457778.54288,15.282,0.04897,2.958,0.133
2457780.5542,15.279,0.04887,2.966,0.133
2457782.58849,15.203,0.04631,3.181,0.136
2457784.58771,15.223,0.04697,3.124,0.135
2457787.55809,15.283,0.04901,2.956,0.133
2457789.56863,15.14,0.04431,3.372,0.137
2457790.55619,15.063,0.04203,3.62,0.14
2457794.55736,15.145,0.04447,3.356,0.137
2457798.53843,14.889,0.03743,4.251,0.146
2457801.51996,14.647,0.03224,5.312,0.158
2457802.53521,14.803,0.03543,4.599,0.15
2457804.53127,14.669,0.03266,5.205,0.156
2457812.50677,14.567,0.0308,5.715,0.162
2457904.93626,10.404,0.02,264.36,4.864
2457905.93633,10.408,0.02,263.563,4.85
2457906.92793,10.416,0.02,261.423,4.81
2457913.92314,10.419,0.02,260.726,4.797
2457915.91956,10.481,0.02,246.282,4.532
2457917.92738,10.439,0.02,256.096,4.712
2457929.88036,10.6,0.02,220.727,4.061
2457933.87435,10.614,0.02,217.936,4.01
2457934.88946,10.575,0.02,225.919,4.157
2457935.88964,10.582,0.02,224.437,4.13
2457942.84651,10.524,0.02,236.849,4.358
2457944.85512,10.555,0.02,230.093,4.234
2457946.84425,10.569,0.02,227.237,4.181
2457952.88143,10.68,0.02,205.063,3.773
2457953.81689,10.626,0.02,215.516,3.965
2457956.86773,10.654,0.02,209.98,3.864
2457960.80126,10.756,0.02,191.154,3.517
2457966.80012,10.792,0.02,184.895,3.402
2457967.78108,10.856,0.02,174.366,3.208
2457968.91954,10.935,0.02,162.19,2.984
2457969.77437,10.856,0.02,174.378,3.209
2457971.77139,10.938,0.02,161.761,2.976
2457974.79956,11.008,0.02,151.605,2.79
2457979.85111,11.188,0.02,128.392,2.362
2457980.74503,11.138,0.02,134.48,2.474
2457982.73821,11.142,0.02,133.976,2.465
2457985.74325,11.258,0.02,120.404,2.215
2458000.69337,11.657,0.02,83.417,1.535
2458003.69749,11.675,0.02,82.037,1.509
2458005.70681,11.765,0.02,75.512,1.389
2458007.76067,11.812,0.02,72.266,1.33
2458009.80321,11.848,0.02,69.969,1.287
2458011.68377,11.894,0.02,67.031,1.233
2458015.70695,11.963,0.02,62.913,1.158
2458019.64133,12.026,0.02,59.341,1.092
2458021.73292,12.106,0.02,55.148,1.015
2458028.83769,12.256,0.02,48.021,0.884
2458029.80023,12.275,0.02,47.194,0.868
2458033.7261,12.347,0.02,44.179,0.813
2458036.79543,12.438,0.02,40.61,0.747
2458037.79321,12.468,0.02,39.507,0.727
2458041.74962,12.528,0.02,37.385,0.688
2458085.76892,13.452,0.02185,15.957,0.321
2458086.67076,13.451,0.02185,15.983,0.321
2458091.69686,13.553,0.02191,14.551,0.293
2458092.58162,13.588,0.02196,14.078,0.284
2458101.62071,13.727,0.02235,12.395,0.255
2458118.62916,14.137,0.02509,8.491,0.196
2458119.63357,14.195,0.02568,8.05,0.19
2458121.61887,14.176,0.02548,8.193,0.192
2458122.67684,14.684,0.03295,5.131,0.156
2458123.57041,14.198,0.02571,8.032,0.19
2458124.56657,14.299,0.02687,7.318,0.181
2458125.5703,14.243,0.02621,7.701,0.186
2458127.6481,14.411,0.02836,6.597,0.172
2458128.59405,14.365,0.02772,6.886,0.176
2458129.64431,14.363,0.02769,6.896,0.176
2458134.63511,14.521,0.03003,5.965,0.165
2458135.63452,14.584,0.0311,5.625,0.161
2458136.63412,14.528,0.03015,5.926,0.164
2458137.63004,14.577,0.03098,5.662,0.161
2458138.62734,14.543,0.0304,5.846,0.163
2458139.62436,14.776,0.03484,4.716,0.151
2458140.62531,14.541,0.03036,5.855,0.164
2458141.61652,14.599,0.03136,5.549,0.16
2458142.6164,14.654,0.03237,5.274,0.157
2458143.61236,14.546,0.03045,5.828,0.163
2458144.60815,14.579,0.03101,5.655,0.161
2458145.60654,14.675,0.03278,5.174,0.156
2458146.60241,14.633,0.03198,5.378,0.158
2458147.59829,14.652,0.03234,5.283,0.157
2458148.59796,15.261,0.04825,3.018,0.134
2458150.59241,14.79,0.03515,4.653,0.15
2458151.58821,14.738,0.03404,4.881,0.153
2458152.55304,14.785,0.03504,4.676,0.151
2458157.56545,15.029,0.04107,3.734,0.141
2458158.56096,14.955,0.03908,3.997,0.144
2458159.56005,15.054,0.04177,3.651,0.14
2458162.53482,14.941,0.03872,4.051,0.144
2458165.52853,15.106,0.04328,3.48,0.139
2458166.53565,15.205,0.04637,3.176,0.136
2458169.52915,15.284,0.04904,2.954,0.133
2458170.52856,15.029,0.04107,3.736,0.141
2458173.51829,15.066,0.04211,3.609,0.14
2458175.51252,15.383,0.05265,2.696,0.131
