JD,Magnitude,Magnitude_err,Flux,Flux_err
2456844.94353,12.748,0.02,29.91,0.55
2456850.94277,12.751,0.02,29.829,0.549
2456856.92599,12.768,0.02,29.375,0.54
2456857.92649,12.729,0.02,30.435,0.56
2456876.89502,12.782,0.02,28.984,0.533
2456879.87719,12.766,0.02,29.429,0.541
2456881.88182,12.759,0.02,29.625,0.545
2456884.86785,12.788,0.02,28.829,0.53
2456886.87305,12.766,0.02,29.417,0.541
2456890.86453,12.771,0.02,29.301,0.539
2456915.8077,12.759,0.02,29.605,0.545
2456917.81886,12.773,0.02,29.232,0.538
2456924.79513,12.785,0.02,28.904,0.532
2456927.79821,12.781,0.02,29.024,0.534
2456932.7898,12.782,0.02,28.997,0.534
2456937.75702,12.774,0.02,29.212,0.538
2456938.76684,12.77,0.02,29.325,0.54
2456940.76447,12.766,0.02,29.418,0.541
2456948.86172,12.78,0.02,29.044,0.534
2456961.74135,12.788,0.02,28.843,0.531
2456967.72788,12.776,0.02,29.164,0.537
2456971.7085,12.778,0.02,29.089,0.535
2456974.70518,12.772,0.02,29.269,0.539
2456978.70048,12.762,0.02,29.522,0.543
2456980.69366,12.774,0.02,29.218,0.538
2456984.69923,12.75,0.02,29.866,0.55
2456988.74375,12.771,0.02,29.296,0.539
2456990.68576,12.745,0.02,29.987,0.552
2456993.67326,12.783,0.02,28.962,0.533
2456996.67734,12.741,0.02,30.099,0.554
2456999.67109,12.778,0.02,29.092,0.535
2457001.74535,12.751,0.02,29.831,0.549
2457003.66691,12.746,0.02,29.983,0.552
2457004.8515,12.757,0.02,29.659,0.546
2457005.83878,12.749,0.02,29.899,0.55
2457006.83475,12.763,0.02,29.509,0.543
2457009.69511,12.754,0.02,29.756,0.548
2457012.73492,12.734,0.02,30.307,0.558
2457015.6576,12.724,0.02,30.578,0.563
2457018.57047,12.728,0.02,30.46,0.56
2457020.64011,12.724,0.02,30.592,0.563
2457023.64808,12.702,0.02,31.222,0.574
2457031.64954,12.693,0.02,31.475,0.579
2457033.69148,12.66,0.02,32.443,0.597
2457034.78281,12.637,0.02,33.141,0.61
2457036.77071,12.59,0.02,34.615,0.637
2457039.61881,12.554,0.02,35.782,0.658
2457042.61407,12.467,0.02,38.742,0.713
2457045.61937,12.37,0.02,42.373,0.78
2457049.60876,12.172,0.02,50.855,0.936
2457053.60453,12.013,0.02,58.849,1.083
2457062.67466,11.688,0.02,79.385,1.461
2457066.63432,11.514,0.02,93.187,1.715
2457070.62845,11.413,0.02,102.345,1.883
2457077.6347,11.257,0.02,118.099,2.173
2457080.64175,11.223,0.02,121.821,2.242
2457084.59818,11.251,0.02,118.746,2.185
2457085.55474,11.284,0.02,115.201,2.12
2457087.6122,11.286,0.02,114.963,2.115
2457090.56394,11.373,0.02,106.107,1.952
2457093.60488,11.441,0.02,99.679,1.834
2457096.59819,11.456,0.02,98.297,1.809
2457101.53529,11.562,0.02,89.184,1.641
2457110.48724,11.696,0.02,78.846,1.451
2457114.5671,11.722,0.02,76.939,1.416
2457117.55924,11.743,0.02,75.461,1.388
2457118.55704,11.754,0.02,74.731,1.375
2457119.52626,11.768,0.02,73.771,1.357
2457123.53542,11.805,0.02,71.331,1.312
2457127.51534,11.812,0.02,70.861,1.304
2457133.51602,11.872,0.02,67.02,1.233
2457136.50805,11.898,0.02,65.426,1.204
2457139.50103,11.932,0.02,63.454,1.168
