JD,Magnitude,Magnitude_err,Flux,Flux_err
2457223.90872,12.527,0.02,36.668,0.675
2457248.85913,12.625,0.02,33.505,0.616
2457252.84339,12.648,0.02,32.803,0.604
2457256.88599,12.657,0.02,32.539,0.599
2457265.80989,12.682,0.02,31.798,0.585
2457268.81101,12.706,0.02,31.084,0.572
2457273.84313,12.706,0.02,31.098,0.572
2457276.77905,12.71,0.02,31.623,0.582
2457277.87762,12.722,0.02,31.279,0.576
2457278.86326,12.737,0.02,30.844,0.568
2457283.76309,12.76,0.02,30.193,0.556
2457286.89114,12.742,0.02,30.687,0.565
2457287.77947,12.762,0.02,30.151,0.555
2457297.7703,12.727,0.02,31.125,0.573
2457305.85345,12.755,0.02,30.342,0.558
2457311.82675,12.753,0.02,30.378,0.559
2457313.68745,12.786,0.02,29.488,0.543
2457317.73296,12.772,0.02,29.867,0.55
2457329.82232,12.784,0.02,29.538,0.544
2457332.80861,12.787,0.02,29.446,0.542
2457338.81684,12.78,0.02,29.637,0.545
2457341.73935,12.804,0.02,28.997,0.534
2457346.72895,12.794,0.02,29.253,0.538
2457348.71429,12.758,0.02,30.242,0.556
2457354.8595,12.786,0.02,29.483,0.542
2457355.75681,12.776,0.02,29.765,0.548
2457357.7815,12.777,0.02,29.732,0.547
2457361.66553,12.798,0.02,29.146,0.536
2457365.77482,12.809,0.02,28.862,0.531
2457370.66656,12.797,0.02,29.183,0.537
2457372.58924,12.782,0.02,29.576,0.544
2457376.7837,12.797,0.02,29.172,0.537
2457377.67726,12.784,0.02,29.535,0.543
2457383.75454,12.791,0.02,29.355,0.54
2457385.76665,12.782,0.02,29.595,0.545
2457386.63077,12.797,0.02,29.195,0.537
2457390.81691,12.819,0.02,28.602,0.526
2457395.7414,12.776,0.02,29.762,0.548
2457397.77517,12.781,0.02,29.603,0.545
2457399.76305,12.802,0.02,29.046,0.534
2457401.70688,12.798,0.02,29.154,0.536
2457404.76215,12.801,0.02,29.07,0.535
2457405.58269,12.782,0.02,29.598,0.545
2457406.77338,12.788,0.02,29.413,0.541
2457407.70553,12.775,0.02,29.781,0.548
2457413.70951,12.761,0.02,30.168,0.555
2457415.6443,12.766,0.02,30.04,0.553
2457416.7474,12.789,0.02,29.395,0.541
2457418.71489,12.785,0.02,29.512,0.543
2457419.71442,12.774,0.02,29.819,0.549
2457420.68398,12.808,0.02,28.881,0.531
2457422.72831,12.802,0.02,29.042,0.534
2457423.64096,12.788,0.02,29.427,0.541
2457425.72271,12.779,0.02,29.67,0.546
2457426.68418,12.808,0.02,28.884,0.531
2457428.71275,12.784,0.02,29.542,0.544
2457429.65863,12.785,0.02,29.505,0.543
2457431.68073,12.774,0.02,29.809,0.548
2457433.69745,12.778,0.02,29.702,0.547
2457435.69336,12.793,0.02,29.303,0.539
2457437.55328,12.787,0.02,29.457,0.542
2457439.68436,12.764,0.02,30.086,0.554
2457442.6761,12.762,0.02,30.132,0.554
2457444.66648,12.777,0.02,29.731,0.547
2457445.66573,12.768,0.02,29.985,0.552
2457446.66109,12.806,0.02,28.945,0.533
2457447.65999,12.782,0.02,29.594,0.545
2457448.6436,12.772,0.02,29.857,0.549
2457452.64395,12.772,0.02,29.859,0.549
2457455.55807,12.8,0.02,29.113,0.536
2457458.62857,12.773,0.02,29.833,0.549
2457466.60285,12.745,0.02,30.602,0.563
2457468.60149,12.713,0.02,31.538,0.58
2457470.59157,12.693,0.02,32.121,0.591
2457471.55154,12.716,0.02,31.452,0.579
2457475.5751,12.702,0.02,31.864,0.586
2457477.53416,12.654,0.02,33.297,0.613
2457481.55841,12.591,0.02,35.279,0.649
2457485.54671,12.489,0.02,38.771,0.713
2457576.94618,11.809,0.02,72.48,1.334
2457577.93915,11.836,0.02,70.701,1.301
2457584.94518,11.903,0.02,66.458,1.223
2457585.91787,11.877,0.02,68.095,1.253
2457589.9115,11.923,0.02,65.251,1.201
2457595.9058,12.009,0.02,60.303,1.11
2457599.89555,12.047,0.02,58.22,1.071
2457602.90443,12.026,0.02,59.356,1.092
2457605.88364,12.105,0.02,55.216,1.016
2457607.88809,12.171,0.02,51.92,0.955
2457609.87329,12.128,0.02,54.033,0.994
2457612.90428,12.169,0.02,52.014,0.957
2457617.85027,12.214,0.02,49.944,0.919
2457618.84319,12.21,0.02,50.123,0.922
2457622.84466,12.263,0.02,47.743,0.878
2457624.84149,12.258,0.02,47.926,0.882
2457629.81351,12.301,0.02,46.07,0.848
2457630.80983,12.306,0.02,45.864,0.844
2457633.84101,12.33,0.02,44.872,0.826
2457636.79694,12.366,0.02,43.411,0.799
2457639.78609,12.373,0.02,43.109,0.793
2457641.84417,12.385,0.02,42.641,0.785
2457645.77453,12.401,0.02,42.043,0.774
2457649.76426,12.419,0.02,41.353,0.761
2457654.74277,12.436,0.02,40.704,0.749
2457656.81702,12.476,0.02,39.231,0.722
2457658.83968,12.469,0.02,39.47,0.726
2457662.75046,12.485,0.02,38.913,0.716
2457666.72248,12.498,0.02,38.436,0.707
2457668.77698,12.511,0.02,37.972,0.699
2457671.71721,12.53,0.02,37.314,0.687
2457674.79427,12.523,0.02,37.575,0.691
2457682.83828,12.56,0.02,36.289,0.668
2457683.83114,12.585,0.02,35.465,0.653
2457687.65908,12.557,0.02,36.386,0.67
2457689.82281,12.589,0.02,35.336,0.65
2457695.8071,12.604,0.02,34.872,0.642
2457698.84079,12.627,0.02,34.123,0.628
2457701.66805,12.633,0.02,33.936,0.624
2457702.83156,12.639,0.02,33.744,0.621
2457703.73321,12.617,0.02,34.452,0.634
2457709.66171,12.643,0.02,33.622,0.619
2457714.84382,12.659,0.02,33.145,0.61
2457716.65498,12.668,0.02,32.872,0.605
2457720.7032,12.698,0.02,31.965,0.588
2457724.7019,12.687,0.02,32.291,0.594
2457727.68178,12.73,0.02,31.052,0.571
2457730.66774,12.711,0.02,31.592,0.581
2457732.82538,12.737,0.02,30.846,0.568
2457738.80929,12.813,0.02,28.766,0.529
2457740.7916,12.718,0.02,31.399,0.578
2457741.7801,12.751,0.02,30.446,0.56
2457742.63162,12.718,0.02,31.372,0.577
2457745.64176,12.732,0.02,30.968,0.57
2457749.65814,12.744,0.02,30.644,0.564
2457753.55689,12.736,0.02,30.858,0.568
2457756.68817,12.736,0.02,30.861,0.568
2457757.53348,12.746,0.02,30.581,0.563
2457762.69178,12.73,0.02,31.042,0.571
2457764.74158,12.764,0.02,30.083,0.554
2457767.66621,12.769,0.02,29.957,0.551
2457768.57955,12.78,0.02,29.651,0.546
2457771.69796,12.755,0.02,30.331,0.558
2457772.64151,12.789,0.02,29.404,0.541
2457775.72669,12.796,0.02,29.196,0.537
2457779.55202,12.774,0.02,29.816,0.549
2457781.66391,12.856,0.02,27.637,0.509
2457783.58263,12.8,0.02,29.111,0.536
2457786.57284,12.827,0.02,28.397,0.522
2457789.71173,12.791,0.02,29.349,0.54
2457791.52998,12.779,0.02,29.679,0.546
2457795.63856,12.746,0.02,30.578,0.563
2457796.61577,12.762,0.02,30.144,0.555
2457798.64893,12.809,0.02,28.856,0.531
2457799.61155,12.728,0.02,31.085,0.572
2457800.64746,12.737,0.02,30.85,0.568
2457801.61097,12.756,0.02,30.306,0.558
2457804.68333,12.773,0.02,29.838,0.549
2457806.62211,12.8,0.02,29.113,0.536
2457808.67189,12.795,0.02,29.233,0.538
2457816.64925,12.758,0.02,30.243,0.556
2457821.63344,12.803,0.02,29.019,0.534
2457823.55182,12.784,0.02,29.541,0.544
2457826.6209,12.783,0.02,29.552,0.544
2457827.60448,12.759,0.02,30.23,0.556
2457828.55954,12.76,0.02,30.196,0.556
2457830.50559,12.78,0.02,29.654,0.546
2457833.58233,12.83,0.02,28.32,0.521
2457834.59347,12.75,0.02,30.472,0.561
2457836.5875,12.799,0.02,29.129,0.536
2457837.58659,12.804,0.02,28.988,0.533
2457843.56575,12.747,0.02,30.557,0.562
2457845.55913,12.763,0.02,30.116,0.554
2457848.55364,12.762,0.02,30.139,0.555
2457851.54069,12.767,0.02,29.999,0.552
2457853.53896,12.744,0.02,30.654,0.564
2457855.53014,12.748,0.02,30.52,0.562
2457857.52484,12.772,0.02,29.873,0.55
2457863.5083,12.735,0.02,30.903,0.569
2457866.49869,12.762,0.02,30.141,0.555
2457869.47765,12.728,0.02,31.102,0.572
2457873.4673,12.754,0.02,30.357,0.559
2457878.4606,12.726,0.02,31.163,0.573
2457882.4509,12.743,0.02,30.683,0.565
2457941.9417,11.861,0.02,69.077,1.271
2457943.93847,11.693,0.02,80.671,1.484
2457946.93926,11.452,0.02,100.755,1.854
2457947.92431,11.407,0.02,104.958,1.931
2457953.91872,11.096,0.02,139.749,2.571
2457956.91221,10.908,0.02,166.234,3.059
2457967.88555,10.621,0.02,216.49,3.983
2457970.88974,10.509,0.02,240.08,4.417
2457971.88195,10.485,0.02,245.371,4.515
2457978.86669,10.535,0.02,234.318,4.311
2457980.85968,10.535,0.02,234.323,4.312
2457982.91373,10.567,0.02,227.65,4.189
2457985.83914,10.653,0.02,210.248,3.869
2457999.81192,10.899,0.02,167.595,3.084
2458001.79709,10.948,0.02,160.187,2.947
2458004.78651,10.919,0.02,164.525,3.027
2458009.91121,11.094,0.02,140.074,2.577
2458012.77563,11.143,0.02,133.853,2.463
2458013.76417,11.188,0.02,128.405,2.363
2458015.81111,11.145,0.02,133.647,2.459
2458017.84964,11.184,0.02,128.959,2.373
2458021.74185,11.271,0.02,118.956,2.189
2458022.7395,11.293,0.02,116.597,2.145
2458028.7298,11.405,0.02,105.129,1.934
2458032.71105,11.479,0.02,98.271,1.808
2458033.85186,11.545,0.02,92.449,1.701
2458036.87352,11.578,0.02,89.706,1.651
2458037.8347,11.606,0.02,87.434,1.609
2458043.73347,11.694,0.02,80.623,1.483
2458053.71644,11.857,0.02,69.39,1.277
2458055.67866,11.886,0.02,67.505,1.242
2458056.6648,11.862,0.02,69.019,1.27
2458067.74052,11.981,0.02,61.853,1.138
2458069.69577,12.031,0.02,59.081,1.087
2458070.71576,12.006,0.02,60.473,1.113
2458072.71326,12.04,0.02,58.59,1.078
2458073.72061,12.057,0.02,57.676,1.061
2458083.56762,12.126,0.02,54.135,0.996
2458085.75623,12.157,0.02,52.614,0.968
2458087.7421,12.165,0.02,52.237,0.961
2458091.72912,12.199,0.02,50.609,0.931
2458094.77344,12.227,0.02,49.315,0.907
2458096.76288,12.245,0.02,48.497,0.892
2458097.62984,12.257,0.02,47.982,0.883
2458103.81498,12.31,0.02,45.693,0.841
2458105.75954,12.303,0.02,45.994,0.846
2458108.75301,12.345,0.02,44.252,0.814
2458111.76869,12.372,0.02,43.167,0.794
2458118.64355,12.43,0.02,40.915,0.753
2458119.61507,12.417,0.02,41.423,0.762
2458120.53332,12.468,0.02,39.525,0.727
2458121.75247,12.426,0.02,41.076,0.756
2458153.72006,12.603,0.02,34.882,0.642
2458157.69362,12.641,0.02,33.679,0.62
2458158.60296,12.621,0.02,34.306,0.631
2458168.52114,12.667,0.02,32.887,0.605
2458171.6083,12.692,0.02,32.149,0.592
2458172.67244,12.675,0.02,32.654,0.601
2458174.67045,12.689,0.02,32.237,0.593
2458176.60755,12.671,0.02,32.776,0.603
2458178.65172,12.697,0.02,31.989,0.589
2458179.63249,12.694,0.02,32.081,0.59
2458180.57307,12.686,0.02,32.331,0.595
2458186.50578,12.726,0.02,31.148,0.573
2458190.6219,12.75,0.02,30.464,0.561
2458196.54763,12.727,0.02,31.112,0.572
