JD,Magnitude,Magnitude_err,Flux,Flux_err
2457637.89541,14.202,0.02576,8.0,0.19
2457659.87593,14.426,0.02857,6.512,0.171
2457666.85723,14.466,0.02917,6.272,0.168
2457674.8035,14.536,0.03028,5.884,0.164
2457686.84388,14.61,0.03156,5.493,0.159
2457689.7624,14.745,0.03419,4.853,0.153
2457691.81715,14.827,0.03597,4.499,0.149
2457696.74481,14.871,0.037,4.319,0.147
2457699.74718,14.834,0.03613,4.47,0.149
2457702.73709,14.921,0.03822,4.125,0.145
2457710.80818,15.015,0.04068,3.784,0.142
2457714.7948,15.098,0.04305,3.504,0.139
2457717.69395,15.152,0.04468,3.336,0.137
2457719.81804,15.184,0.04569,3.239,0.136
2457721.6949,15.134,0.04413,3.39,0.138
2457722.70129,15.24,0.04753,3.074,0.134
2457727.6589,15.327,0.05057,2.838,0.132
2457735.687,15.414,0.05384,2.619,0.13
2457738.84333,15.489,0.05686,2.446,0.128
2457740.71905,15.427,0.05435,2.59,0.13
2457743.78947,15.555,0.05966,2.3,0.126
2457745.75089,15.617,0.06242,2.173,0.125
2457746.72912,15.775,0.07003,1.879,0.121
2457747.74898,15.743,0.06842,1.935,0.122
2457750.7263,15.807,0.07167,1.824,0.12
2457753.65665,15.886,0.07587,1.696,0.118
2457756.67786,15.704,0.0665,2.005,0.123
2457760.76129,15.917,0.07758,1.648,0.118
2457761.57478,16.009,0.08281,1.515,0.115
2457763.69754,16.134,0.09034,1.35,0.112
2457765.70946,15.873,0.07517,1.716,0.119
2457766.71939,15.956,0.07976,1.59,0.117
2457768.7843,16.085,0.08734,1.412,0.113
2457770.6403,15.888,0.07598,1.694,0.118
2457772.62016,15.967,0.08039,1.575,0.116
2457775.7967,16.268,0.09889,1.194,0.109
2457777.62532,16.242,0.0972,1.222,0.109
2457779.66624,16.4,0.10771,1.057,0.105
2457781.6894,16.196,0.09424,1.275,0.111
2457784.61282,16.162,0.09209,1.316,0.111
2457787.56757,16.357,0.1048,1.1,0.106
2457789.81834,16.452,0.11127,1.007,0.103
2457791.75178,16.084,0.08728,1.414,0.114
2457794.78742,16.509,0.11521,0.955,0.101
2457796.71483,16.203,0.09469,1.267,0.11
2457798.67173,16.416,0.1088,1.041,0.104
2457800.69599,16.337,0.10346,1.12,0.107
2457801.58692,16.48,0.1132,0.982,0.102
2457804.77653,16.635,0.124,0.851,0.097
2457805.65869,16.574,0.11974,0.9,0.099
2457807.68122,16.749,0.13196,0.766,0.093
2457813.64849,16.747,0.13182,0.768,0.093
2457817.55192,16.76,0.13272,0.758,0.093
2457821.7291,16.886,0.14132,0.676,0.088
2457824.71874,16.658,nan,0.649,0.167
2457826.62627,16.754,nan,0.656,0.153
2457828.71354,16.31,nan,0.841,0.23
2457829.71255,16.431,nan,0.564,0.205
2457830.70745,16.959,0.14612,0.631,0.085
2457831.69914,16.711,0.12932,0.793,0.094
2457832.69422,16.826,0.13726,0.714,0.09
2457833.68533,16.706,0.12897,0.797,0.095
2457835.69552,16.572,0.1196,0.902,0.099
2457837.67794,17.118,0.15592,0.545,0.078
2457840.63047,16.944,nan,0.501,0.128
2457843.48845,17.084,0.15392,0.563,0.08
2457845.65932,17.355,nan,0.4,0.088
2457847.65769,16.874,0.14051,0.683,0.088
2457850.60024,17.132,nan,0.493,0.108
2457854.56043,16.724,nan,0.729,0.157
2457856.59441,16.891,nan,0.601,0.134
2457862.62082,17.345,0.16748,0.442,0.068
2457871.57969,17.086,0.15404,0.562,0.08
2457874.56982,16.902,0.14238,0.666,0.087
2457882.55841,16.826,0.13726,0.714,0.09
2457887.45594,17.215,nan,0.264,0.1
2457894.52468,17.276,nan,0.326,0.094
2457901.46284,17.193,0.16011,0.509,0.075
2457904.49716,17.331,nan,0.385,0.09
2457913.46622,16.881,nan,0.437,0.136
2457917.45467,17.084,0.15392,0.563,0.08
2457994.91964,16.736,0.13106,0.776,0.094
2457999.91711,16.717,0.12973,0.789,0.094
2458001.89533,16.443,0.11065,1.015,0.103
2458010.89845,16.284,0.09994,1.176,0.108
2458012.87965,16.293,0.10053,1.166,0.108
2458015.88073,16.305,0.10133,1.153,0.107
2458018.86557,16.001,0.08235,1.526,0.116
2458021.85709,16.075,0.08673,1.425,0.114
2458023.86594,15.884,0.07576,1.7,0.118
2458028.84458,16.057,0.08565,1.449,0.114
2458032.82687,16.056,nan,1.011,0.29
2458035.81658,15.91,0.07719,1.659,0.118
2458039.82627,15.871,0.07506,1.719,0.119
2458041.84964,16.013,0.08305,1.51,0.115
2458044.79418,15.746,0.06857,1.929,0.122
2458045.79472,15.799,0.07126,1.838,0.12
2458047.79279,16.051,0.08529,1.457,0.114
2458048.78957,15.648,0.06384,2.112,0.124
2458052.78017,15.789,0.07074,1.855,0.121
2458053.77697,15.733,0.06792,1.952,0.122
2458056.7595,15.852,0.07404,1.751,0.119
2458074.72991,15.773,0.06993,1.883,0.121
2458076.70524,15.919,0.07769,1.645,0.118
2458079.7148,15.702,0.06641,2.009,0.123
2458080.74951,15.848,0.07383,1.757,0.119
2458082.76639,15.708,0.0667,1.998,0.123
2458084.68469,15.932,0.07841,1.626,0.117
2458085.79451,15.864,0.07468,1.732,0.119
2458087.682,15.816,0.07214,1.81,0.12
2458091.74522,15.678,0.06526,2.054,0.123
2458094.69874,15.576,0.06058,2.256,0.126
2458096.76748,15.748,0.06867,1.927,0.122
2458102.71754,15.755,0.06902,1.913,0.121
2458108.7587,15.851,0.07399,1.752,0.119
2458111.77023,15.858,0.07436,1.741,0.119
2458119.73403,15.72,0.06728,1.977,0.122
2458120.78551,15.59,0.0612,2.227,0.125
2458121.73597,15.84,0.0734,1.77,0.12
2458122.73912,15.751,0.06882,1.92,0.122
2458123.674,15.785,0.07054,1.861,0.121
2458124.70902,15.783,0.07044,1.865,0.121
2458126.77316,15.813,0.07198,1.815,0.12
2458127.78049,15.899,0.07658,1.676,0.118
2458128.78435,15.782,0.07038,1.867,0.121
2458142.82707,15.774,0.06998,1.88,0.121
2458143.8072,15.864,0.07468,1.731,0.119
2458144.78843,16.272,0.09915,1.189,0.108
2458145.75702,15.956,0.07976,1.59,0.117
2458146.6655,15.797,0.07115,1.841,0.121
2458147.82507,15.915,0.07746,1.652,0.118
2458148.81295,15.859,0.07441,1.738,0.119
2458150.79262,15.927,0.07813,1.634,0.117
2458153.80262,16.067,0.08625,1.436,0.114
2458157.78471,15.947,0.07925,1.604,0.117
2458158.80741,15.946,0.0792,1.605,0.117
2458159.8068,15.903,0.0768,1.669,0.118
2458160.75671,15.97,0.08056,1.569,0.116
2458161.65431,16.152,0.09146,1.328,0.112
2458163.57525,16.157,0.09178,1.322,0.112
2458164.70472,15.848,0.07383,1.757,0.119
2458170.66259,15.993,0.08188,1.537,0.116
2458175.56632,16.032,0.08416,1.483,0.115
2458176.64611,16.276,0.09941,1.184,0.108
2458178.74366,15.958,0.07988,1.588,0.117
2458179.61769,16.199,0.09443,1.271,0.11
2458180.70789,15.869,nan,0.679,0.344
2458186.54969,15.943,0.07903,1.61,0.117
2458192.62201,16.092,0.08776,1.403,0.113
2458196.52575,16.295,0.10067,1.164,0.108
