JD,Magnitude,Magnitude_err,Flux,Flux_err
2456806.48446,16.313,0.10186,1.145,0.107
2456810.46804,17.242,nan,0.457,0.097
2456814.50692,17.172,nan,0.483,0.104
2456833.45289,17.047,0.15168,0.582,0.081
2456890.9253,17.115,nan,0.457,0.109
2456905.90717,17.24,0.16256,0.487,0.073
2456912.88313,16.533,0.11688,0.935,0.101
2456917.8739,17.207,0.16086,0.503,0.074
2456921.86989,17.11,0.15546,0.549,0.079
2456922.86739,17.128,0.1565,0.54,0.078
2456927.86072,17.196,nan,0.431,0.101
2456930.88258,17.29,nan,0.407,0.093
2456931.8899,17.04,nan,0.449,0.117
2456933.84467,16.871,0.14031,0.685,0.088
2456936.8392,17.07,nan,0.357,0.114
2456937.84837,16.803,0.13569,0.729,0.091
2456938.87357,16.577,nan,0.703,0.18
2456943.82618,16.634,0.12393,0.851,0.097
2456950.79883,16.968,0.14671,0.626,0.084
2456964.78627,16.903,0.14245,0.665,0.087
2456968.76145,16.525,nan,0.942,0.188
2456971.74893,16.489,0.11382,0.973,0.102
2456973.76523,16.516,0.11569,0.95,0.101
2456976.74234,16.684,0.12743,0.814,0.095
2456979.73812,16.601,0.12162,0.878,0.098
2456982.75889,16.865,0.1399,0.688,0.089
2456988.74338,16.426,0.10948,1.032,0.104
2456991.73259,16.477,0.11299,0.984,0.102
2456993.73696,16.604,0.12183,0.876,0.098
2456996.71282,16.701,0.12862,0.801,0.095
2457000.70913,15.987,0.08154,1.545,0.116
2457005.72222,16.104,0.08849,1.388,0.113
2457007.71329,15.983,0.08131,1.551,0.116
2457009.70943,15.921,0.0778,1.642,0.118
2457012.71737,15.8,0.07131,1.836,0.12
2457014.71351,15.608,0.06201,2.191,0.125
2457017.69207,15.569,0.06027,2.272,0.126
2457019.70678,15.501,0.05735,2.418,0.128
2457022.70609,15.542,0.05909,2.329,0.127
2457031.70052,15.378,0.05246,2.708,0.131
2457033.77792,15.281,0.04894,2.962,0.133
2457037.70357,15.256,0.04808,3.031,0.134
2457039.68431,15.334,0.05083,2.821,0.132
2457041.69831,15.14,0.04431,3.372,0.137
2457044.67716,15.107,0.04331,3.476,0.139
2457046.69514,15.146,0.0445,3.354,0.137
2457049.66738,15.269,0.04852,2.994,0.134
2457052.66842,15.031,0.04112,3.727,0.141
2457062.6975,15.015,0.04068,3.785,0.142
2457064.79497,14.954,0.03906,4.001,0.144
2457067.63508,14.968,0.03942,3.953,0.143
2457070.6428,15.028,0.04104,3.739,0.141
2457077.64082,14.923,0.03827,4.119,0.145
2457079.60546,14.964,0.03932,3.966,0.143
2457085.5952,14.995,0.04014,3.854,0.142
2457087.67678,14.97,0.03947,3.943,0.143
2457090.71801,14.923,0.03827,4.119,0.145
2457091.67335,15.004,0.04038,3.822,0.142
2457094.67118,14.952,0.039,4.011,0.144
2457097.70227,14.945,0.03883,4.037,0.144
2457101.67596,14.976,0.03963,3.923,0.143
2457109.61429,14.953,0.03903,4.004,0.144
2457113.61132,15.025,0.04096,3.747,0.141
2457115.62651,14.766,0.03463,4.761,0.152
2457116.61985,15.035,0.04123,3.716,0.141
2457117.65216,15.016,0.04071,3.782,0.142
2457121.64278,14.88,0.03721,4.287,0.147
2457124.55973,14.989,0.03998,3.877,0.143
2457129.55549,14.919,0.03817,4.134,0.145
2457133.55802,14.965,0.03934,3.961,0.143
2457136.57042,14.992,0.04006,3.866,0.142
2457139.54803,14.909,0.03792,4.172,0.146
2457147.56101,14.931,0.03847,4.087,0.145
2457150.4705,14.99,0.04,3.872,0.142
2457155.47686,14.987,0.03992,3.882,0.143
2457158.50199,14.966,0.03937,3.958,0.143
2457161.48069,15.042,0.04143,3.691,0.141
2457166.48494,15.028,0.04104,3.738,0.141
2457169.50446,14.991,0.04003,3.869,0.142
2457172.51391,14.934,0.03854,4.077,0.145
2457176.46683,14.969,0.03945,3.947,0.143
2457180.45952,15.108,0.04334,3.472,0.138
2457183.46231,15.062,0.042,3.622,0.14
2457254.92759,15.69,0.06583,2.032,0.123
2457263.92022,16.144,0.09096,1.338,0.112
2457267.89193,15.762,0.06937,1.902,0.121
2457276.89775,16.041,0.0847,1.47,0.115
2457283.87566,16.246,0.09746,1.218,0.109
2457291.88242,15.955,0.07971,1.592,0.117
2457292.86731,16.313,0.10186,1.145,0.107
2457297.8874,15.929,0.07824,1.63,0.117
2457318.87272,16.081,0.08709,1.417,0.114
2457319.83698,16.019,0.0834,1.5,0.115
2457337.83655,16.192,0.09399,1.279,0.111
2457347.7142,16.467,0.1123,0.994,0.103
2457354.81784,15.971,0.08062,1.569,0.116
2457362.81544,16.085,0.08734,1.412,0.113
2457364.71369,16.127,0.08991,1.359,0.112
2457370.77016,16.167,0.0924,1.309,0.111
2457373.7836,16.095,0.08794,1.4,0.113
2457375.70095,16.276,0.09941,1.184,0.108
2457377.62584,16.239,0.097,1.226,0.109
2457378.82711,16.208,0.09501,1.261,0.11
2457379.8188,16.071,0.08649,1.431,0.114
2457384.74239,16.416,0.1088,1.041,0.104
2457387.83364,16.201,0.09456,1.269,0.11
2457388.81028,15.892,0.0762,1.687,0.118
2457395.76523,16.214,0.09539,1.254,0.11
2457397.79268,16.326,0.10272,1.131,0.107
2457398.73128,16.146,0.09109,1.335,0.112
2457402.7568,16.218,0.09565,1.249,0.11
2457403.57788,16.134,0.09034,1.35,0.112
2457404.74226,16.107,0.08868,1.384,0.113
2457405.63574,15.991,0.08177,1.539,0.116
2457406.8099,16.0,0.08229,1.528,0.116
2457407.7882,16.08,0.08703,1.419,0.114
2457408.76719,16.191,0.09392,1.281,0.111
2457409.59561,15.963,0.08016,1.581,0.117
2457415.76096,16.194,0.09411,1.278,0.111
2457416.76029,16.021,0.08352,1.498,0.115
2457418.57662,16.08,0.08703,1.419,0.114
2457420.59143,16.097,0.08807,1.397,0.113
2457422.7574,16.037,0.08446,1.477,0.115
2457423.63445,15.838,0.07329,1.772,0.119
2457425.81707,16.071,0.08649,1.43,0.114
2457426.58777,16.064,0.08607,1.44,0.114
2457428.72017,15.965,0.08027,1.577,0.116
2457436.78245,15.823,0.07251,1.798,0.12
2457437.7819,15.729,0.06773,1.961,0.122
2457439.77628,15.807,0.07167,1.825,0.12
2457442.7716,16.064,0.08607,1.44,0.114
2457444.75847,15.795,0.07105,1.845,0.121
2457445.67803,15.716,0.06709,1.985,0.123
2457446.74886,15.724,0.06748,1.97,0.122
2457447.726,15.59,0.0612,2.229,0.126
2457448.75108,15.657,0.06426,2.095,0.124
2457451.65295,15.589,0.06115,2.23,0.125
2457453.72175,15.629,0.06297,2.149,0.124
2457456.50669,15.533,0.05871,2.348,0.127
2457458.71929,15.43,0.05447,2.582,0.129
2457466.67687,15.296,0.04946,2.922,0.133
2457467.53687,15.178,0.0455,3.256,0.136
2457471.67838,15.109,0.04337,3.469,0.138
2457475.66326,15.111,0.04343,3.464,0.138
2457477.56462,15.102,0.04316,3.493,0.139
2457481.66223,15.047,0.04157,3.673,0.14
2457485.56502,14.95,0.03895,4.015,0.144
2457634.90255,14.173,0.02545,8.22,0.192
